key,type,value
state,is_in,Nevada
continent,is_in,North America
country,is_in,USA
name,regular,Las Vegas
ar,name,??? ?????
bn,name,??? ?????
fa,name,??? ????
he,name,??? ????
hy,name,??? ?????
ja,name,?????
ka,name,???-??????
ko,name,??????
ml,name,???? ??????
mr,name,??? ???????
nv,name,Na'azhoosh hatsoh
ru,name,???-?????
sr,name,??? ?????
ta,name,???? ?????
te,name,???? ??????
ur,name,??? ?????
yi,name,??? ??????
zh,name,?????
place,regular,city
population,regular,567641
wikidata,regular,Q23768
