id,key,type,value
31551114,state,is_in,Nevada
31551114,continent,is_in,North America
31551114,country,is_in,USA
31551114,name,regular,Las Vegas
31551114,ar,name,??? ?????
31551114,bn,name,??? ?????
31551114,fa,name,??? ????
31551114,he,name,??? ????
31551114,hy,name,??? ?????
31551114,ja,name,?????
31551114,ka,name,???-??????
31551114,ko,name,??????
31551114,ml,name,???? ??????
31551114,mr,name,??? ???????
31551114,nv,name,Na'azhoosh hatsoh
31551114,ru,name,???-?????
31551114,sr,name,??? ?????
31551114,ta,name,???? ?????
31551114,te,name,???? ??????
31551114,ur,name,??? ?????
31551114,yi,name,??? ??????
31551114,zh,name,?????
31551114,place,regular,city
31551114,population,regular,567641
31551114,wikidata,regular,Q23768
31551289,ref,regular,13
31551289,highway,regular,motorway_junction
31552217,name,regular,Jean
31552217,place,regular,village
137032473,highway,regular,turning_circle
137032494,source,regular,Yahoo
137032494,highway,regular,turning_circle
137032568,highway,regular,turning_circle
137032653,highway,regular,turning_circle
137032733,highway,regular,turning_circle
137032990,highway,regular,turning_circle
137033023,highway,regular,turning_circle
137033290,highway,regular,traffic_signals
137035663,highway,regular,turning_circle
137035692,highway,regular,turning_circle
137035697,highway,regular,turning_circle
137037152,power,regular,tower
137037155,power,regular,tower
137037158,power,regular,tower
137040434,power,regular,tower
137040436,power,regular,tower
137040441,power,regular,tower
137040444,power,regular,tower
137040448,power,regular,tower
137040454,power,regular,tower
137040456,power,regular,tower
137040458,power,regular,tower
137040461,power,regular,tower
137040468,power,regular,tower
137040471,power,regular,tower
137040474,power,regular,tower
137040482,power,regular,tower
137040486,power,regular,tower
137040489,power,regular,tower
137040492,power,regular,tower
137040496,power,regular,tower
137040506,power,regular,tower
137040509,power,regular,tower
137040513,power,regular,tower
137040515,power,regular,tower
137040518,power,regular,tower
137040522,power,regular,tower
137040522,source,regular,bing
137040525,power,regular,tower
137040525,source,regular,bing
137040978,ref,regular,21
137040978,highway,regular,motorway_junction
137041088,ref,regular,23
137041088,highway,regular,motorway_junction
137041164,ref,regular,12
137041164,highway,regular,motorway_junction
137043006,highway,regular,traffic_signals
137043006,traffic_signals,regular,signal
137043163,ref,regular,40
137043163,exit_to,regular,Sahara Avenue
137043163,highway,regular,motorway_junction
137044328,ref,regular,10
137044328,highway,regular,motorway_junction
137044328,old_ref,regular,8
137044389,ref,regular,85
137044389,highway,regular,motorway_junction
137044502,ref,regular,54
137044502,exit_to,regular,Speedway Boulevard;Hollywood Boulevard
137044502,highway,regular,motorway_junction
